name,price,ncomments,breakfast,cancel,rooms,distance,score_review,stars
Grand Millennium Beijing,117,1545,FALSE,FALSE,FALSE,5,8.5,5
JEN Beijing by Shangri-La,178,1017,FALSE,FALSE,FALSE,6,9.1,5
New World Beijing Hotel,115,2475,FALSE,FALSE,FALSE,2.5,9.1,5
Hilton Beijing Wangfujing,167,291,FALSE,FALSE,FALSE,1.9,8.4,5
Grand Hyatt Beijing,165,663,FALSE,FALSE,FALSE,2.1,8.5,5
Fairmont Beijing,165,584,TRUE,FALSE,FALSE,5,9,5
Waldorf Astoria Beijing,251,226,FALSE,FALSE,FALSE,2,9.2,5
The Peninsula Beijing,282,489,FALSE,FALSE,FALSE,2.2,9.4,5
The Orchid Hotel - Old Town & Drum Tower,102,566,TRUE,FALSE,TRUE,3.2,9.1,4
Park Plaza Beijing Wangfujing,82,1714,FALSE,FALSE,FALSE,2.5,9,4
Hilton Beijing,153,191,FALSE,FALSE,FALSE,7,8.1,5
Shangri-la Hotel Beijing,149,317,FALSE,FALSE,FALSE,7,8.2,5
Mandarin Oriental Wangfujing  Beijing,412,39,FALSE,FALSE,TRUE,1.7,9.7,5
Conrad Beijing,180,183,FALSE,FALSE,FALSE,6,8.6,5
Happy Dragon Saga Hotel Beijing Tian'AnMen Forbidden City,76,9,FALSE,FALSE,FALSE,3,9.3,4
The Ritz-Carlton Beijing,208,72,FALSE,FALSE,FALSE,7,8.3,5
The PuXuan Hotel and Spa,278,64,TRUE,FALSE,TRUE,1.9,9.4,5
Novotel Beijing Peace,89,904,FALSE,FALSE,FALSE,2.1,7.8,4
Four Seasons Hotel Beijing,252,230,FALSE,FALSE,FALSE,7,9.3,5
Shangri-la China World Summit Wing  Beijing,267,251,TRUE,FALSE,FALSE,5,9.2,5
Beijing Hotel NUO Forbidden City,153,520,FALSE,FALSE,FALSE,1.8,8.7,5
East Beijing,111,360,FALSE,FALSE,FALSE,10,8.8,5
Wanda Vista Beijing,133,383,FALSE,FALSE,FALSE,6,8.3,5
DoubleTree by Hilton Beijing,90,221,FALSE,FALSE,FALSE,5,7.4,5
Shangri-La Kerry Hotel  Beijing,170,508,FALSE,FALSE,FALSE,5,9.1,5
Park Hyatt Beijing,237,123,FALSE,FALSE,FALSE,5,8.4,5
Kempinski Hotel Beijing Lufthansa Centre,153,462,FALSE,FALSE,FALSE,7,8.9,5
Renaissance Beijing Wangfujing Hotel,179,259,FALSE,FALSE,FALSE,1.9,8.9,5
The Great Wall Hotel Beijing,140,798,FALSE,FALSE,FALSE,7,7.6,5
Beijing Hesuoyou Hotel,76,0,FALSE,FALSE,FALSE,6,NA,0
Jianguo Hotel,72,1236,FALSE,FALSE,FALSE,5,8.1,4
The Ritz-Carlton Beijing  Financial Street,280,70,FALSE,FALSE,FALSE,2.4,8.5,5
Grand Mercure Beijing Central,97,681,FALSE,FALSE,FALSE,1.9,8.1,4
Jingshan Garden Hotel,81,434,FALSE,FALSE,FALSE,1.6,9.1,4
Holiday Inn Express Beijing Dongzhimen,76,2067,TRUE,FALSE,FALSE,5,8.8,4
The Westin Beijing Chaoyang,223,205,FALSE,FALSE,FALSE,7,8.8,5
Rosewood Beijing,341,302,FALSE,FALSE,TRUE,6,9,5
The Westin Beijing Financial Street,178,112,FALSE,FALSE,FALSE,2.4,8.1,5
Renaissance Beijing Capital Hotel,141,252,FALSE,FALSE,FALSE,6,8.7,5
Bulgari Hotel  Beijing,473,85,TRUE,FALSE,FALSE,6,8.8,5
Holiday Inn Beijing Haidian,94,361,FALSE,FALSE,TRUE,10,8.5,4
Stey-Wangfujing,147,201,FALSE,FALSE,FALSE,2.1,9.1,5
NUO Hotel Beijing,163,535,FALSE,FALSE,FALSE,10,9.2,5
The Opposite House,311,352,FALSE,FALSE,FALSE,6,9.2,5
Crowne Plaza Beijing Zhongguancun,128,199,TRUE,FALSE,FALSE,8,8.2,5
Hyatt Regency Beijing Wangjing,143,301,FALSE,FALSE,FALSE,11,8.8,5
The St. Regis Beijing,141,81,FALSE,FALSE,FALSE,4.2,8.4,5
China National Convention Center Grand Hotel,90,419,FALSE,FALSE,FALSE,9,8.3,5
Grand Mercure Beijing Dongcheng,101,288,FALSE,FALSE,FALSE,3.5,7.9,5
Crowne Plaza Beijing Chaoyang U-Town,113,213,FALSE,FALSE,FALSE,4.2,8.3,5
